TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,HighValue
TX000001,AC00128,14.09,2023-11-04 16:29:00,1,36,288,162.198.218.92,14,0,70,0,81,1,5112.21,2024-04-11 08:08:00,0
TX000003,AC00019,126.29,2023-10-07 18:16:00,1,23,189,215.97.143.157,8,2,19,3,56,1,1122.35,2024-04-11 08:07:00,0
TX000004,AC00070,184.5,2023-05-05 16:32:00,1,33,152,200.13.225.150,1,2,26,3,25,1,8569.06,2024-04-11 08:09:00,0
TX000006,AC00393,92.15,2023-03-04 17:15:00,1,28,435,117.67.192.211,53,0,18,3,172,1,781.68,2024-04-11 08:06:00,0
TX000008,AC00069,171.42,2023-08-05 17:47:00,0,16,381,92.214.76.157,19,1,67,2,291,1,2796.24,2024-04-11 08:10:00,0
TX000012,AC00459,190.02,2023-06-02 17:30:00,1,22,443,116.175.11.222,29,2,21,3,173,1,1528.81,2024-04-11 08:07:00,0
TX000013,AC00392,494.52,2023-07-06 17:21:00,0,23,25,210.98.198.143,56,1,24,3,111,1,1620.02,2024-04-11 08:08:00,1
TX000016,AC00270,465.45,2023-12-12 16:23:00,1,10,355,221.169.49.152,24,0,36,1,129,1,3465.54,2024-04-11 08:12:00,0
TX000020,AC00285,71.48,2023-08-06 18:18:00,0,8,32,120.170.93.69,38,2,18,3,169,1,6568.59,2024-04-11 08:09:00,0
TX000022,AC00014,85.77,2023-11-08 18:31:00,1,19,211,59.132.247.252,64,1,38,0,93,1,9146.19,2024-04-11 08:08:00,0
TX000023,AC00095,52.2,2023-06-06 18:54:00,1,1,115,133.63.96.21,21,2,39,1,120,1,8974.93,2024-04-11 08:07:00,0
TX000024,AC00453,345.84,2023-02-05 18:25:00,1,13,129,191.82.103.198,82,2,22,3,142,3,1402.5,2024-04-11 08:07:00,0
